46	52	121	100	8	100	100	1	93	91.4	4e-30	+
46	73	83.8	100	100	31	100	27	96	90	1e-18	-
46	74	117	100	14	100	100	5	91	91.95	7e-29	+
51	52	115	100	100	27	100	27	100	94.67	3e-28	-
51	73	113	100	8	100	100	1	93	90.43	1e-27	+
51	74	119	100	100	25	100	25	100	94.81	2e-29	-
52	176	123	100	94	1	100	1	94	91.49	1e-30	-
74	176	111	100	92	5	100	1	88	90.91	4e-27	-
93	176	85.7	100	89	27	100	31	93	92.06	2e-19	-
176	243	85.7	100	38	96	100	1	59	93.22	2e-19	+
37	286	105	100	95	27	100	32	100	94.2	3e-25	-
46	286	77.8	100	5	63	100	42	100	91.53	6e-17	+
51	286	121	100	100	16	100	16	100	93.02	4e-30	-
52	286	103	100	1	56	100	45	100	98.21	1e-24	+
73	286	119	100	100	9	100	9	100	91.3	2e-29	-
74	286	149	100	10	100	100	1	91	95.6	2e-38	+
93	286	113	100	1	81	100	20	100	92.59	1e-27	+
93	306	71.9	100	70	15	100	5	60	91.07	4e-15	-
259	176	83.8	100	1	62	100	35	96	91.94	1e-18	+
287	176	77.8	100	1	63	100	34	96	90.48	6e-17	+
176	305	89.7	100	68	4	100	24	88	92.31	2e-20	-
287	286	141	100	100	6	100	6	100	93.68	5e-36	-
305	286	91.7	100	24	97	100	16	89	90.54	4e-21	+
46	341	135	100	5	100	100	3	98	92.71	3e-34	+
51	341	93.7	100	97	35	100	35	97	93.75	1e-21	-
52	341	149	100	1	95	100	6	100	94.74	2e-38	+
73	341	109	100	96	26	100	29	99	94.37	2e-26	-
74	341	153	100	5	93	100	12	100	96.63	1e-39	+
176	341	135	100	96	1	100	4	99	92.71	3e-34	-
342	176	81.8	100	2	66	100	34	99	90.91	4e-18	+
286	338	97.6	100	100	36	100	36	100	93.85	6e-23	-
341	286	103	100	1	60	100	40	99	96.67	1e-24	+
286	342	131	100	100	7	100	7	100	92.55	5e-33	-
306	342	71.9	100	1	60	100	14	73	90.16	4e-15	+
342	341	155	100	100	23	100	23	100	100	3e-40	-
46	386	89.7	100	100	32	100	32	100	91.3	2e-20	-
51	386	113	100	16	100	100	14	98	91.86	1e-27	+
52	386	111	100	100	25	100	25	100	93.42	4e-27	-
